id,FormName,CIK,ValueDate,FilingDate,FormURL,ReportQuarter
1,aapl-20231230,320193,2023-12-30,2024-02-02,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000006/aapl-20231230.htm,2023-10-01
2,aapl-20230930,320193,2023-09-30,2023-11-03,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000106/aapl-20230930.htm,2023-07-01
3,aapl-20230701,320193,2023-07-01,2023-08-04,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000077/aapl-20230701.htm,2023-04-01
4,aapl-20230401,320193,2023-04-01,2023-05-05,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000064/aapl-20230401.htm,2023-01-01
5,aapl-20221231,320193,2022-12-31,2023-02-03,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000006/aapl-20221231.htm,2022-10-01
6,aapl-20220924,320193,2022-09-24,2022-10-28,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000108/aapl-20220924.htm,2022-07-01
7,aapl-20220625,320193,2022-06-25,2022-07-29,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000070/aapl-20220625.htm,2022-04-01
8,aapl-20220326,320193,2022-03-26,2022-04-29,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000059/aapl-20220326.htm,2022-01-01
9,aapl-20211225,320193,2021-12-25,2022-01-28,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000007/aapl-20211225.htm,2021-10-01
10,aapl-20210925,320193,2021-09-25,2021-10-29,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000105/aapl-20210925.htm,2021-07-01
11,aapl-20210626,320193,2021-06-26,2021-07-28,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000065/aapl-20210626.htm,2021-04-01
12,aapl-20210327,320193,2021-03-27,2021-04-29,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000056/aapl-20210327.htm,2021-01-01
13,aapl-20201226,320193,2020-12-26,2021-01-28,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000010/aapl-20201226.htm,2020-10-01
14,aapl-20200926,320193,2020-09-26,2020-10-30,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000096/aapl-20200926.htm,2020-07-01
15,aapl-20200627,320193,2020-06-27,2020-07-31,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000062/aapl-20200627.htm,2020-04-01
16,a10-qq220203282020,320193,2020-03-28,2020-05-01,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000052/a10-qq220203282020.htm,2020-01-01
17,a10-qq1202012282019,320193,2019-12-28,2020-01-29,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000010/a10-qq1202012282019.htm,2019-10-01
18,a10-k20199282019,320193,2019-09-28,2019-10-31,https://www.sec.gov/Archives/edgar/data/0000320193/000032019319000119/a10-k20199282019.htm,2019-07-01
19,a10-qq320196292019,320193,2019-06-29,2019-07-31,https://www.sec.gov/Archives/edgar/data/0000320193/000032019319000076/a10-qq320196292019.htm,2019-04-01
20,a10-qq220193302019,320193,2019-03-30,2019-05-01,https://www.sec.gov/Archives/edgar/data/0000320193/000032019319000066/a10-qq220193302019.htm,2019-01-01
21,a10-qq1201912292018,320193,2018-12-29,2019-01-30,https://www.sec.gov/Archives/edgar/data/0000320193/000032019319000010/a10-qq1201912292018.htm,2018-10-01
