Form_id,TextListLen,TableIndex,SumDivider,JsonTable,ValueColumn,CCP,LTD
1,1,0,1,1,0,73100.0,106042.0
2,1,0,1,1,0,61555.0,105103.0
3,1,0,1,1,0,62482.0,105287.0
4,1,0,1,1,0,55872.0,107619.0
5,1,0,1,1,0,51355.0,109367.0
6,1,0,1,1,0,48304.0,110087.0
7,1,0,1,1,0,48231.0,108709.0
8,1,0,1,1,0,51511.0,112982.0
9,1,0,1,1,0,63913.0,117798.0
10,1,0,1,1,0,62639.0,118719.0
11,5,0,1,1,0,61696.0,113791.0
12,5,0,1,1,0,69834.0,116645.0
13,5,0,1,1,0,76826.0,107043.0
14,5,0,1,1,0,90943.0,107440.0
15,5,0,1,1,0,93025.0,101557.0
16,5,0,1,1,0,94051.0,99478.0
17,5,0,1,1,0,107162.0,103302.0
18,5,1,1,1,0,100557.0,102067.0
19,5,0,1,1,0,94614.0,98465.0
20,5,0,1,1,0,80092.0,100706.0
21,4,0,1,1,0,86427.0,102761.0
22,10,0,1,1,0,10944.0,64613.0
23,3,0,1,1,0,34741.0,60468.0
24,2,0,1,1,0,34248.0,61544.0
25,2,0,1,1,0,31561.0,61595.0
26,10,0,1,1,0,9305.0,38945.0
27,2,0,1,1,0,11478.0,38704.0
28,2,0,1,1,0,7183.0,36522.0
29,2,0,1,1,0,6544.0,36854.0
30,9,0,1,1,0,8037.0,33309.0
31,2,0,1,1,0,12921.0,37579.0
32,3,1,1,1,0,8082.0,32782.0
33,3,1,1,1,0,10566.0,32685.0
34,9,0,1,1,0,10647.0,32986.0
35,3,1,1,1,0,12360.0,34287.0
36,3,1,1,1,0,11421.0,34224.0
37,3,1,1,1,0,8012.0,31848.0
38,9,0,1,1,0,8911.0,29903.0
39,11,1,1,1,0,20853.0,29791.0
40,6,1,1,1,0,21758.0,30614.0
41,8,1,1,1,0,26301.0,33024.0
42,8,0,1,1,0,29304.0,33929.0
43,1,0,1,1,1,86780.0,58314.0
44,1,0,1,1,1,64169.0,61098.0
45,1,0,1,1,1,63970.0,63092.0
46,1,0,1,1,1,64405.0,67084.0
47,1,0,1,1,1,70026.0,67150.0
48,1,0,1,1,1,58662.0,58919.0
49,1,0,1,1,1,60710.0,58053.0
50,1,0,1,1,1,66385.0,47556.0
51,1,0,1,1,1,96049.0,48744.0
52,1,0,1,1,1,78988.0,50055.0
53,1,0,1,1,1,89894.0,50279.0
54,1,0,1,1,1,73270.0,31868.0
55,1,0,1,1,1,84396.0,31816.0
56,1,0,1,1,1,68402.0,32929.0
57,1,0,1,1,1,71391.0,33128.0
58,1,0,1,1,1,49292.0,23437.0
59,1,0,1,1,1,55021.0,23414.0
60,1,0,1,1,1,43401.0,22472.0
61,1,0,1,1,1,41463.0,23329.0
62,1,0,1,1,1,37020.0,23322.0
63,1,0,1,1,1,41250.0,23495.0
64,1,0,1,1,0,412.0,4497.0
65,1,0,1,1,0,790.0,4668.0
66,2,1,1,1,0,1046.0,4781.0
67,2,0,1,1,0,1232.0,4862.0
68,1,0,1,1,0,295.0,4860.0
69,3,0,1,1,0,452.0,4858.0
70,3,0,1,1,0,651.0,4856.0
